Cycle,Time (real),Time (simulation),Agent,State,Rider,Follower,Leader,Battery Life,Has Target,Last Tag,Next Tag,Read Pheromones,Pheromone To Diffuse,Pheromone Mark
0,2021-08-28 19:49:32,0.0,bike115,idle,nil,bike(131),nil,74969.33435194145,false,tagRFID(208),tagRFID(46),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike116,idle,nil,nil,nil,80495.84224862109,false,tagRFID(129),tagRFID(140),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike117,idle,nil,nil,nil,80502.40061927702,false,tagRFID(312),tagRFID(277),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike118,idle,nil,nil,nil,84757.55687213365,false,tagRFID(17),tagRFID(50),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike119,idle,nil,nil,nil,76651.95609209448,false,tagRFID(58),tagRFID(69),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike120,idle,nil,nil,nil,91664.39507119003,false,tagRFID(165),tagRFID(129),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike105,idle,nil,nil,nil,89123.26682050378,false,tagRFID(179),tagRFID(103),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike106,idle,nil,nil,nil,77340.38614438624,false,tagRFID(82),tagRFID(229),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike107,idle,nil,nil,nil,98051.64418486888,false,tagRFID(147),tagRFID(154),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike108,idle,nil,nil,nil,77523.2693590007,false,tagRFID(201),tagRFID(70),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike109,idle,nil,nil,nil,92168.93418870121,false,tagRFID(145),tagRFID(153),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike110,idle,nil,nil,nil,88610.77892437084,false,tagRFID(290),tagRFID(292),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike111,idle,nil,nil,nil,75416.57885148826,false,tagRFID(49),tagRFID(48),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike112,idle,nil,nil,nil,87446.97074358138,false,tagRFID(282),tagRFID(196),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike97,idle,nil,nil,nil,97238.22320874655,false,tagRFID(208),tagRFID(207),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike98,idle,nil,nil,nil,92795.20939297158,false,tagRFID(93),tagRFID(94),0.0,0.0,0.0
